ad_cv_id,question,answer
158615579-3039882,bạn có biết sử dụng photoshop?,sử dụng pts cơ bản
156572856-2848633,bạn tốt nghiệp kiến trúc sư tại trường nào tp.hcm ?,Trường đại học Kiến trúc TPHCM
156572856-2848633,bạn sử dụng render bằng corona hay v-ray ?,V-ray
158335796-3061022,"bạn đã có kinh nghiệm làm việc ở đâu, vị trí làm việc là gì?",có được hỗ trợ gì không ạ ?
158335796-3061022,bằng cấp của bạn chuyên nganh gì?,công nghệ thực phẩm
158335796-3061022,khi nào bạn có thể bắt đầu làm việc?,ngày 5/7 hoặc ngay sau khi được nhận
158335796-3080256,"bạn đã có kinh nghiệm làm việc ở đâu, vị trí làm việc là gì?","Hoa mặt trời academy- nhân viên tư vấn, lễ tân
Nhân viên bán hàng- daily fruit
Phục vụ"
158335796-3080256,bằng cấp của bạn chuyên nganh gì?,Kĩ thuật máy tính
158335796-3080256,khi nào bạn có thể bắt đầu làm việc?,Có thể làm việc ngay khi phỏng vấn đạt
158335796-3092459,"bạn đã có kinh nghiệm làm việc ở đâu, vị trí làm việc là gì?",Kinh nghiệm làm tại căn hộ dịch vụ với vị trí lễ tân kiêm thu ngân
158335796-3092459,bằng cấp của bạn chuyên nganh gì?,Cao đẳng kế toán doanh nghiệp
158335796-3092459,khi nào bạn có thể bắt đầu làm việc?,Có thể bắt đầu vào tuần sau
158335796-3117046,"bạn đã có kinh nghiệm làm việc ở đâu, vị trí làm việc là gì?","Thu ngân( nhà hàng lẩu ), sale( công ty TNHH & XNK MTV Niềm Vui ), quản lý( Công ty TNHH Sofa Kim Phú"
158335796-3117046,bằng cấp của bạn chuyên nganh gì?,Tạm thời bảo lưu
158335796-3117046,khi nào bạn có thể bắt đầu làm việc?,Thứ hai 15/07/2024
158335796-3126696,"bạn đã có kinh nghiệm làm việc ở đâu, vị trí làm việc là gì?",Siêu thị WinMart- Nhân viên 2 năm - Trưởng Ca 2 năm- Giám sát 4 tháng
158335796-3126696,bằng cấp của bạn chuyên nganh gì?,Không
158335796-3126696,khi nào bạn có thể bắt đầu làm việc?,Sau khi phỏng vấn
158335796-3173963,"bạn đã có kinh nghiệm làm việc ở đâu, vị trí làm việc là gì?","Em có kinh nghiệm làm việc ở nhà hàng Mèo Kitchen - Phú Quốc, vị trí thu ngân 1 năm"
158335796-3173963,bằng cấp của bạn chuyên nganh gì?,THPT
158335796-3173963,khi nào bạn có thể bắt đầu làm việc?,Có thể đi làm liền ạ
158105907-2958624,các hệ thống pos nào bạn đã từng sử dụng?,dạ từng ạ
158105907-2958624,các app giao hàng nào bạn đã từng sử dụng để đặt giao hàng?,dạ rồi ạ
158105907-2958705,các hệ thống pos nào bạn đã từng sử dụng?,IPos
158105907-2958705,các app giao hàng nào bạn đã từng sử dụng để đặt giao hàng?,"Shopee, Grab, giao mang về cho khách qua app "
158105907-2958727,các hệ thống pos nào bạn đã từng sử dụng?,"Posapp,sapo,kiotviet"
158105907-2958727,các app giao hàng nào bạn đã từng sử dụng để đặt giao hàng?,Be shoppefood
158105907-2959071,các hệ thống pos nào bạn đã từng sử dụng?,"máy pos bán hàng , pos quẹt thẻ , smart pos"
158105907-2959071,các app giao hàng nào bạn đã từng sử dụng để đặt giao hàng?,"grap , gojek , baemin , shoppe food , be "
158105907-2959099,các hệ thống pos nào bạn đã từng sử dụng?,"Touch-Screen POS Systems, mPos"
158105907-2959099,các app giao hàng nào bạn đã từng sử dụng để đặt giao hàng?,"K-delivery, shopee food, be"
158105907-2962455,các hệ thống pos nào bạn đã từng sử dụng?,Chưa ạ
158105907-2962455,các app giao hàng nào bạn đã từng sử dụng để đặt giao hàng?,Đã từng sử dụng
158105907-2963097,các hệ thống pos nào bạn đã từng sử dụng?,Kiotviet
158105907-2963097,các app giao hàng nào bạn đã từng sử dụng để đặt giao hàng?,Grab. Giao Hàng Tiết Kiệm. Giao Hàng Nhanh. Ahamove
158105907-2963679,các hệ thống pos nào bạn đã từng sử dụng?,"Kiot viet, mocha, sapo, misa"
158105907-2963679,các app giao hàng nào bạn đã từng sử dụng để đặt giao hàng?,"Grab, lalamove, ahamove, be
Lalamove thì ưu điêm có thêm xe tải, van 500kg vận chuyển hàng lớn"
158105907-2963775,các hệ thống pos nào bạn đã từng sử dụng?,Dạ em có từng làm thu ngân kiêm pha chế ở caffee Milano ạ
158105907-2963775,các app giao hàng nào bạn đã từng sử dụng để đặt giao hàng?,"Grap , bee , gojek, ahamove ạ"
158105907-2970335,các hệ thống pos nào bạn đã từng sử dụng?,"Kiot Việt
Pos App 
Odoo 
Haravan"
158105907-2970335,các app giao hàng nào bạn đã từng sử dụng để đặt giao hàng?,"Ahamove 
Grab 
HeyU "
158105907-2970340,các hệ thống pos nào bạn đã từng sử dụng?,Không nhớ tên
158105907-2970340,các app giao hàng nào bạn đã từng sử dụng để đặt giao hàng?,"Grab,Be,Gojek,Shoppee Food"
158105907-2974986,các hệ thống pos nào bạn đã từng sử dụng?,"LS Retail,, Kiot Việt"
158105907-2974986,các app giao hàng nào bạn đã từng sử dụng để đặt giao hàng?,"Grab, Gojek, befood, Shoppe food, ahamove
"
158105907-2975785,các hệ thống pos nào bạn đã từng sử dụng?,Có
158105907-2975785,các app giao hàng nào bạn đã từng sử dụng để đặt giao hàng?,Có
158105907-2976236,các hệ thống pos nào bạn đã từng sử dụng?,Máy in
158105907-2976236,các app giao hàng nào bạn đã từng sử dụng để đặt giao hàng?,App shipping
158105907-2976636,các hệ thống pos nào bạn đã từng sử dụng?,chưa
158105907-2976636,các app giao hàng nào bạn đã từng sử dụng để đặt giao hàng?,"grab,bee,gojeck"
158105907-2977156,các hệ thống pos nào bạn đã từng sử dụng?,máy pos thanh toán ở quán nước
158105907-2977156,các app giao hàng nào bạn đã từng sử dụng để đặt giao hàng?,"grad,shoppefood,gojek"
158105907-2978631,các hệ thống pos nào bạn đã từng sử dụng?,.
158105907-2978631,các app giao hàng nào bạn đã từng sử dụng để đặt giao hàng?,.
158105907-2979690,các hệ thống pos nào bạn đã từng sử dụng?,"Mixue, Ba râu"
158105907-2979690,các app giao hàng nào bạn đã từng sử dụng để đặt giao hàng?,"Shopee food, Grab, Be, Gojek, baemin"
158105907-2979852,các hệ thống pos nào bạn đã từng sử dụng?,Đã sử dụng máy pos khi làm thu ngân nhưng ko nhớ rõ tên ạ
158105907-2979852,các app giao hàng nào bạn đã từng sử dụng để đặt giao hàng?,App giao hàng qua shopee
158105907-2980116,các hệ thống pos nào bạn đã từng sử dụng?,có sử dụng qua ạ
158105907-2980116,các app giao hàng nào bạn đã từng sử dụng để đặt giao hàng?,"shoppefoood
grabfood
beamin"
158105907-2981285,các hệ thống pos nào bạn đã từng sử dụng?,"Kiot Viet, Tiger pos"
158105907-2981285,các app giao hàng nào bạn đã từng sử dụng để đặt giao hàng?,"Shopee Food, Grab Food, Go Food, Be Food"
157639849-458949,bạn biết bán hàng trên shopee và tiktok ?,"Có biết, thường xuyên mua "
157639849-2892542,bạn biết bán hàng trên shopee và tiktok ?,"dạ biết
"
157153580-2823915,em sinh năm bao nhiêu?,dạ em sinh năm 2008
157153580-2823915,"liệt kê những công việc đã làm, tại đâu, làm trong bao lâu?",em lần đâu xin việc ạ
157153580-2824538,em sinh năm bao nhiêu?,2000
157153580-2824538,"liệt kê những công việc đã làm, tại đâu, làm trong bao lâu?","Nhân viên bán hàng, Nhân viên văn phòng, Nhân viên kho"
157153580-2825039,em sinh năm bao nhiêu?,2000
157153580-2825039,"liệt kê những công việc đã làm, tại đâu, làm trong bao lâu?","Bộ phận kho công ty thời trang An Việt, làm trog 2 năm"
157153580-2827065,em sinh năm bao nhiêu?,Dạ 2003 ạ
157153580-2827065,"liệt kê những công việc đã làm, tại đâu, làm trong bao lâu?","Soạn đơn hàng, đóng gói, shop thời trang quảng châu ( 2 tháng)
Quản lí page, check tin nhắn, chốt đơn, đóng gói, phục vụ ( quán ăn Nhật SalmonKing Tân Phú)- 2 năm"
157153580-2827174,em sinh năm bao nhiêu?,Dạ em sinh năm 1994 ạ
157153580-2827174,"liệt kê những công việc đã làm, tại đâu, làm trong bao lâu?","Đã từng làm việc tại siêu thị 24h , làm phục vụ quán ăn , làm căn teen trường học và công việc đánh toa hàng cho công ty nội thất Nhơn Hoà ạ"
157153580-2827184,em sinh năm bao nhiêu?,Em sinh năm 2003 ạ
157153580-2827184,"liệt kê những công việc đã làm, tại đâu, làm trong bao lâu?","Em từng làm thời vụ 4 tháng khâu đóng gói hàng hoá trong côngty đồ chơi trẻ em
Từng làm phuc vụ/pha chế quán cà phê 4 năm 
Từng làm thu ngân/checkbill 2 năm trong quán ăn Nhật ạ"
157153580-2828809,em sinh năm bao nhiêu?,2001
157153580-2828809,"liệt kê những công việc đã làm, tại đâu, làm trong bao lâu?","làm bếp, 5 tháng, đà lạt
công nhân, 10 tháng, bình tân"
157153580-2830990,em sinh năm bao nhiêu?,Dạ 2003
157153580-2830990,"liệt kê những công việc đã làm, tại đâu, làm trong bao lâu?","em từng bán phụ tạp hoá, trà sữa, cửa hàng tiện lợi."
155625437-2736546,"nếu bạn chưa có kinh nghiệm làm việc, hãy nghĩ đâu là điểm mạnh để team này chấp nhận bạn?",Tập trung
155625437-2736546,"nếu bạn đã có kinh nghiệm làm việc, bạn nghĩ đâu là nhược điểm khiến bạn không được team chấp nhận?",Ít nói
155625437-2737393,"nếu bạn chưa có kinh nghiệm làm việc, hãy nghĩ đâu là điểm mạnh để team này chấp nhận bạn?",Mình có kinh nghiệm rồi
155625437-2737393,"nếu bạn đã có kinh nghiệm làm việc, bạn nghĩ đâu là nhược điểm khiến bạn không được team chấp nhận?",Nhược điểm của bản thân đó là giọng nói
155625437-2738214,"nếu bạn chưa có kinh nghiệm làm việc, hãy nghĩ đâu là điểm mạnh để team này chấp nhận bạn?","Từng làm nhà hàng tiệc cưới 
Chăm sóc khách hàng tốt nhanh nhẹn học hỏi nhanh"
155625437-2738214,"nếu bạn đã có kinh nghiệm làm việc, bạn nghĩ đâu là nhược điểm khiến bạn không được team chấp nhận?",Hơi lóng ngóng ạ tại thường ở môi trường mới em ngại giao tiếp với người lạ
155625437-2742423,"nếu bạn chưa có kinh nghiệm làm việc, hãy nghĩ đâu là điểm mạnh để team này chấp nhận bạn?",Điểm mạnh em là hoà đồng thân thiện năng nổ trong công việc tiếp thu nhanh
155625437-2742423,"nếu bạn đã có kinh nghiệm làm việc, bạn nghĩ đâu là nhược điểm khiến bạn không được team chấp nhận?","Nhiều lúc e kh để ý mọi người nói ạ có thể đông quá e nghe k đc ạ

"
155625437-2747306,"nếu bạn chưa có kinh nghiệm làm việc, hãy nghĩ đâu là điểm mạnh để team này chấp nhận bạn?",em đã làm cv tương tự kng trên 2.5 năm
155625437-2747306,"nếu bạn đã có kinh nghiệm làm việc, bạn nghĩ đâu là nhược điểm khiến bạn không được team chấp nhận?","đi trễ, k hòa đồng, k trung thực,...."
155625437-2748922,"nếu bạn chưa có kinh nghiệm làm việc, hãy nghĩ đâu là điểm mạnh để team này chấp nhận bạn?",Khả năng bao quát công việc
155625437-2748922,"nếu bạn đã có kinh nghiệm làm việc, bạn nghĩ đâu là nhược điểm khiến bạn không được team chấp nhận?",Bao quát công việc
155625437-2770895,"nếu bạn chưa có kinh nghiệm làm việc, hãy nghĩ đâu là điểm mạnh để team này chấp nhận bạn?","Cần cù, siêng năng"
155625437-2770895,"nếu bạn đã có kinh nghiệm làm việc, bạn nghĩ đâu là nhược điểm khiến bạn không được team chấp nhận?",Không có
155625437-2784482,"nếu bạn chưa có kinh nghiệm làm việc, hãy nghĩ đâu là điểm mạnh để team này chấp nhận bạn?",nhiệt tình chăm chỉ dễ hoà đồng
155625437-2784482,"nếu bạn đã có kinh nghiệm làm việc, bạn nghĩ đâu là nhược điểm khiến bạn không được team chấp nhận?",hơi bị OCD
155625437-2848974,"nếu bạn chưa có kinh nghiệm làm việc, hãy nghĩ đâu là điểm mạnh để team này chấp nhận bạn?",Em hoà đồng vui vẻ ạ
155625437-2848974,"nếu bạn đã có kinh nghiệm làm việc, bạn nghĩ đâu là nhược điểm khiến bạn không được team chấp nhận?",Em chưa nghĩ ra
154627786-446384,bạn muốn xin vào ca nào ?,Em xin ca full time chiều tối♥️
154627786-448027,bạn muốn xin vào ca nào ?,ca trưa
154627786-452978,bạn muốn xin vào ca nào ?,Dạ em muốn xin làm PARTIME ạ
154627786-455029,bạn muốn xin vào ca nào ? fulltime hay partime ?,ca trưa ca chiều ca tối
154627786-457428,bạn muốn xin vào ca nào ? fulltime hay partime ?,"Partime
"
154627786-460916,bạn muốn xin vào ca nào ? fulltime hay partime ?,Fulltime
154627786-470816,bạn muốn xin vào ca nào ? fulltime hay partime ?,Partime
154627786-494511,bạn muốn xin vào ca nào ? fulltime hay partime ?,"em muốn xin vào Partime ca sáng ca trưa ca chiều ca tối dựa vào lịch đi học, em có thể xoay ca linh hoạt."
154627786-494511,bạn dự định làm việc ở quán bao lâu ?,em dự định cho tới khi tốt nghiệp.
154627786-495431,bạn muốn xin vào ca nào ? fulltime hay partime ?,Full time
154627786-495431,bạn dự định làm việc ở quán bao lâu ?,6 tháng đến 1 năm
154627786-497833,bạn muốn xin vào ca nào ? fulltime hay partime ?,Partimw ca tối
154627786-497833,bạn dự định làm việc ở quán bao lâu ?,Nếu thấy hợp sẽ làm lâu dài
154627786-502911,bạn muốn xin vào vị trí fulltime hay partime ? vào ca nào ?,fulltime ca sáng
154627786-502911,bạn dự định làm việc ở quán bao lâu ?,làm việc lâu dài
154627786-507188,bạn muốn xin vào vị trí fulltime hay partime ? vào ca nào ?,Full Time
154627786-507188,bạn dự định làm việc ở quán bao lâu ?,Nếu công việc môi trường ổn định sẽ gắn bó lâu dài ạ
154627786-511194,bạn muốn xin vào vị trí fulltime hay partime ? vào ca nào ?,Fulltime
154627786-511194,bạn dự định làm việc ở quán bao lâu ?,Lâu dài
154627786-513639,bạn muốn xin vào vị trí fulltime hay partime ? vào ca nào ?,fulltime
154627786-513639,bạn dự định làm việc ở quán bao lâu ?,Công việc phù hợp em sẽ gắn bó lâu dài
154627786-522341,bạn muốn xin vào vị trí fulltime hay partime ? vào ca nào ?,Partime
154627786-522341,bạn dự định làm việc ở quán bao lâu ?,Lâu dài
154627786-527138,"bạn muốn xin vào vị trí fulltime hay partime ? 
vào ca nào ?",Fulltime
154627786-527138,bạn dự định làm việc ở quán bao lâu ?,Lâu dài
154627786-528156,"bạn muốn xin vào vị trí fulltime hay partime ? 
vào ca nào ?",Partime hay full đều đuọc ạ
154627786-528156,bạn dự định làm việc ở quán bao lâu ?,Em hong rõ nhma sẽ gắn bó lâu dài
154627786-529742,"bạn muốn xin vào vị trí fulltime hay partime ? 
vào ca nào ?",fulltime
154627786-529742,bạn dự định làm việc ở quán bao lâu ?,nếu phù hợp sẽ gắn bó lâu dài
154627786-530329,"bạn muốn xin vào vị trí fulltime hay partime ? 
vào ca nào ?","Part time, ca sáng"
154627786-530329,bạn dự định làm việc ở quán bao lâu ?,Trên 1 năm
154627786-2887092,bạn muốn xin vào ca nào ?,ca tối hoặc full time ạ
154627786-2888763,bạn muốn xin vào ca nào ?,Ca sáng
154627786-2889713,bạn muốn xin vào ca nào ?,"Dạ em làm partime, có thể xoay ca buổi sáng hoặc buổi trưa chiều ạ"
154627786-2901890,bạn muốn xin vào ca nào ?,ca tối
154627786-2901969,bạn muốn xin vào ca nào ?,"Ca sáng
Ca trưa
Ca chiều"
154627786-2907106,bạn muốn xin vào ca nào ?,Ca sáng
154627786-2908704,bạn muốn xin vào ca nào ?,"Dạ em muốn xin ca full time sáng ( 07:00-17:00 ) 
em có thể xoay ca tối đc vài ngày trong tuần ạ "
154627786-2914483,bạn muốn xin vào ca nào ?,Ca sáng
154627786-2917218,bạn muốn xin vào ca nào ?,14h-18h
154627786-2937469,bạn muốn xin vào ca nào ?,Ca sáng
154627786-2937565,bạn muốn xin vào ca nào ?,Fulltime ạ
154627786-2951475,bạn muốn xin vào ca nào ? fulltime hay partime ?,"Ca sáng hoặc chiều, có thể xoay ca ạ"
154627786-2955920,bạn muốn xin vào ca nào ? fulltime hay partime ?,full time
154627786-2958673,bạn muốn xin vào ca nào ? fulltime hay partime ?,"em muốn làm ca sáng , passtime "
154627786-2959000,bạn muốn xin vào ca nào ? fulltime hay partime ?,partime
154627786-2963153,bạn muốn xin vào ca nào ? fulltime hay partime ?,Fulltime ca chiều
154627786-2963585,bạn muốn xin vào ca nào ? fulltime hay partime ?,Partime 6-10h
154627786-2964102,bạn muốn xin vào ca nào ? fulltime hay partime ?,dạ em muốn ứng tuyển vị trí fulltime
154627786-2968370,bạn muốn xin vào ca nào ? fulltime hay partime ?,ca trực trưa ạ
154627786-2978670,bạn muốn xin vào ca nào ? fulltime hay partime ?,"Ca sáng , passtime ạ
"
154627786-2988710,bạn muốn xin vào ca nào ? fulltime hay partime ?,Full time
154627786-2993745,bạn muốn xin vào ca nào ? fulltime hay partime ?,fulltime (ở thời điểm hiện tại trong vòng 3-4 tháng )
154627786-2998792,bạn muốn xin vào ca nào ? fulltime hay partime ?,part time 6h-10h
154627786-2999646,bạn muốn xin vào ca nào ? fulltime hay partime ?,Dạ ứng tuyển parte có thể làm fulltime
154627786-3002470,bạn muốn xin vào ca nào ? fulltime hay partime ?,Fulltime
154627786-3027048,bạn muốn xin vào ca nào ? fulltime hay partime ?,partime
154627786-3032210,bạn muốn xin vào ca nào ? fulltime hay partime ?,Part time ạ
154627786-3048772,bạn muốn xin vào ca nào ? fulltime hay partime ?,partime
154627786-3055806,bạn muốn xin vào ca nào ? fulltime hay partime ?,muốn làm ca chiều
154627786-3055806,bạn dự định làm việc ở quán bao lâu ?,chắc lâu àp
154627786-3079190,bạn muốn xin vào ca nào ? fulltime hay partime ?,Fulltime
154627786-3079190,bạn dự định làm việc ở quán bao lâu ?,Lâu dài
154627786-3081401,bạn muốn xin vào ca nào ? fulltime hay partime ?,Fulltime
154627786-3081401,bạn dự định làm việc ở quán bao lâu ?,Sẽ lâu dài.
154627786-3081969,bạn muốn xin vào ca nào ? fulltime hay partime ?,Ca sáng hoặc chiều đều được
154627786-3081969,bạn dự định làm việc ở quán bao lâu ?,Từ 5-6tháng nếu như công việc ổn định ạ
154627786-3083371,bạn muốn xin vào ca nào ? fulltime hay partime ?,fulltime
154627786-3083371,bạn dự định làm việc ở quán bao lâu ?,có
154627786-3083629,bạn muốn xin vào ca nào ? fulltime hay partime ?,full-time
154627786-3083629,bạn dự định làm việc ở quán bao lâu ?,lâu dài
154627786-3088920,bạn muốn xin vào ca nào ? fulltime hay partime ?,Em xin fulltime
154627786-3088920,bạn dự định làm việc ở quán bao lâu ?,Lâu dài ạ
154627786-3088967,bạn muốn xin vào ca nào ? fulltime hay partime ?,full time
154627786-3088967,bạn dự định làm việc ở quán bao lâu ?,6 tháng - 1 năm
154627786-3111333,bạn muốn xin vào ca nào ? fulltime hay partime ?,Fulltime
154627786-3111333,bạn dự định làm việc ở quán bao lâu ?,Thời gian dài
154627786-3125437,bạn muốn xin vào ca nào ? fulltime hay partime ?,ca trưa hoặc chiều ạ ( partime)
154627786-3125437,bạn dự định làm việc ở quán bao lâu ?,trên 6 tháng
154627786-3140518,bạn muốn xin vào ca nào ? fulltime hay partime ?,Em hiện tại đang muốn làm full time ca 6h-15h00
154627786-3140518,bạn dự định làm việc ở quán bao lâu ?,Nếu được em xin gắn bó lâu dài với quán
154627786-3142097,bạn muốn xin vào ca nào ? fulltime hay partime ?,Full time ạ
154627786-3142097,bạn dự định làm việc ở quán bao lâu ?,Lâu dài học hỏi kinh nghiệm
154627786-3159903,bạn muốn xin vào ca nào ? fulltime hay partime ?,em muốn xin partime
154627786-3159903,bạn dự định làm việc ở quán bao lâu ?,"dạ tùy thời điểm thích hợp
"
154627786-3169908,bạn muốn xin vào ca nào ? fulltime hay partime ?,"em muốn xin vào Partime ca sáng trưa chiều tối dựa vào lịch học, em có thể xoay ca linh hoạt."
154627786-3169908,bạn dự định làm việc ở quán bao lâu ?,em dự định cho đến khi tốt nghiệp.
154627786-3170417,bạn muốn xin vào ca nào ? fulltime hay partime ?,"Ca sáng 6-10h sáng hoặc 6h sáng đến 3h chiều 
"
154627786-3170417,bạn dự định làm việc ở quán bao lâu ?,Trong thời gian dài
154627786-3182973,bạn muốn xin vào ca nào ? fulltime hay partime ?,Full time ca sáng ạ
154627786-3182973,bạn dự định làm việc ở quán bao lâu ?,em làm lâu dài
154627786-3211769,bạn muốn xin vào ca nào ? fulltime hay partime ?,partime ạ
154627786-3211769,bạn dự định làm việc ở quán bao lâu ?,dạ lâu dài ạ
154627786-3216661,bạn muốn xin vào vị trí fulltime hay partime ? vào ca nào ?,partime
154627786-3216661,bạn dự định làm việc ở quán bao lâu ?,đến khi quán kh muôn hợp tác nữa!
154627786-3227234,bạn muốn xin vào vị trí fulltime hay partime ? vào ca nào ?,M
154627786-3227234,bạn dự định làm việc ở quán bao lâu ?,M
154627786-3230521,bạn muốn xin vào vị trí fulltime hay partime ? vào ca nào ?,"mình muốn xin vào fulltime, ca 15h-22h "
154627786-3230521,bạn dự định làm việc ở quán bao lâu ?,trên 6 tháng
154627786-3252570,bạn muốn xin vào vị trí fulltime hay partime ? vào ca nào ?,full time
154627786-3252570,bạn dự định làm việc ở quán bao lâu ?,1 năm
154627786-3257939,bạn muốn xin vào vị trí fulltime hay partime ? vào ca nào ?,Fulltime. Xoay ca
154627786-3257939,bạn dự định làm việc ở quán bao lâu ?,có thể làm từ 1-2 năm
154627786-3262656,bạn muốn xin vào vị trí fulltime hay partime ? vào ca nào ?,fulltime ca sáng
154627786-3262656,bạn dự định làm việc ở quán bao lâu ?,1 năm
154627786-3267353,bạn muốn xin vào vị trí fulltime hay partime ? vào ca nào ?,Partime
154627786-3267353,bạn dự định làm việc ở quán bao lâu ?,Lâu dài
154627786-3268091,bạn muốn xin vào vị trí fulltime hay partime ? vào ca nào ?,dạ Partime và ca tối ạ
154627786-3268091,bạn dự định làm việc ở quán bao lâu ?,dạ đến khi nào chủ đuổi ạ
154627786-3269107,bạn muốn xin vào vị trí fulltime hay partime ? vào ca nào ?,Part time ca sáng
154627786-3269107,bạn dự định làm việc ở quán bao lâu ?,Trên 6 tháng
154627786-3269810,bạn muốn xin vào vị trí fulltime hay partime ? vào ca nào ?,Ca sáng
154627786-3269810,bạn dự định làm việc ở quán bao lâu ?,Đến khi không còn giá trị cho quán
154627786-3275336,bạn muốn xin vào vị trí fulltime hay partime ? vào ca nào ?,Partime
154627786-3275336,bạn dự định làm việc ở quán bao lâu ?,Lâu dài
154627786-3276675,bạn muốn xin vào vị trí fulltime hay partime ? vào ca nào ?,Partime ca trưa ạ
154627786-3276675,bạn dự định làm việc ở quán bao lâu ?,Dạ em định làm đến năm 2025 ạ
154627786-3282681,bạn muốn xin vào vị trí fulltime hay partime ? vào ca nào ?,FullTime ạ
154627786-3282681,bạn dự định làm việc ở quán bao lâu ?,Dạ lâu ạ
154627786-3316574,bạn muốn xin vào vị trí fulltime hay partime ? vào ca nào ?,partime vào cả chiều tối
154627786-3316574,bạn dự định làm việc ở quán bao lâu ?,"6 tháng ạ
"
154627786-3342051,bạn muốn xin vào vị trí fulltime hay partime ? vào ca nào ?,Part time
154627786-3342051,bạn dự định làm việc ở quán bao lâu ?,1-2 năm
154627786-3343766,bạn muốn xin vào vị trí fulltime hay partime ? vào ca nào ?,full time hay partime đều được mà e làm ca sáng chiều tối thì có mấy ngày e dính lịch học ạ
154627786-3343766,bạn dự định làm việc ở quán bao lâu ?,dạ tới khi e ra trường ạ
154627786-3355503,"bạn muốn xin vào vị trí fulltime hay partime ? 
vào ca nào ?",Partime ( xoay ca ạ)
154627786-3355503,bạn dự định làm việc ở quán bao lâu ?,Trên 1 năm
154627786-3366699,"bạn muốn xin vào vị trí fulltime hay partime ? 
vào ca nào ?",Dạ partime ạ
154627786-3366699,bạn dự định làm việc ở quán bao lâu ?,Dạ tới khi nào bé tốt nghiệp ạ
154627786-3368087,"bạn muốn xin vào vị trí fulltime hay partime ? 
vào ca nào ?",Fulltime
154627786-3368087,bạn dự định làm việc ở quán bao lâu ?,Gắn bó với quán thời gian lâu nhất có thể
154627786-3371289,"bạn muốn xin vào vị trí fulltime hay partime ? 
vào ca nào ?",em muốn ứng tuyển vào vị trí fulltime và làm ca sáng ạ
154627786-3371289,bạn dự định làm việc ở quán bao lâu ?,công việc phù hợp với khả năng em thì em sẽ cống hiến lâu dài ạ
154627786-3372058,"bạn muốn xin vào vị trí fulltime hay partime ? 
vào ca nào ?",full-time
154627786-3372058,bạn dự định làm việc ở quán bao lâu ?,em muốn được làm lâu dài
154627786-3381959,"bạn muốn xin vào vị trí fulltime hay partime ? 
vào ca nào ?",Fulltime 6h00-15h00
154627786-3381959,bạn dự định làm việc ở quán bao lâu ?,Trên 1 năm
154627786-3382775,"bạn muốn xin vào vị trí fulltime hay partime ? 
vào ca nào ?","full time
ca sáng"
154627786-3382775,bạn dự định làm việc ở quán bao lâu ?,trên 6 tháng
154627786-3384088,"bạn muốn xin vào vị trí fulltime hay partime ? 
vào ca nào ?",dạ là fulltime
154627786-3384088,bạn dự định làm việc ở quán bao lâu ?,Nếu có thể thì e sẽ làm lâu dài ạ
154627786-3384525,"bạn muốn xin vào vị trí fulltime hay partime ? 
vào ca nào ?",part time
154627786-3384525,bạn dự định làm việc ở quán bao lâu ?,6 tháng
154627786-3389024,"bạn muốn xin vào vị trí fulltime hay partime ? 
vào ca nào ?",Dạ fulltime sáng ạ
154627786-3389024,bạn dự định làm việc ở quán bao lâu ?,Trên 6 tháng ạ
154627786-3392025,"bạn muốn xin vào vị trí fulltime hay partime ? 
vào ca nào ?",Partime ạ ( sáng hoặc tối đều đuọc ạ )
154627786-3392025,bạn dự định làm việc ở quán bao lâu ?,Trên 4thang ạ
154627786-3400119,"bạn muốn xin vào vị trí fulltime hay partime ? 
vào ca nào ?",em làm part time ạ
154627786-3400119,bạn dự định làm việc ở quán bao lâu ?,"hợp nhau thì em làm rất lâu dài ạ, vì em yêu thích việc pha chế "
154627786-3417883,bạn muốn ứng tuyển vào vị trí fulltime hay partime ? vào ca nào ?,Full time ca sáng ạ
154627786-3417883,bạn dự định làm việc ở quán bao lâu ?,Hơn 1 năm
155805284-499599,bạn dự định làm việc ở quán bao lâu ?,2 năm trở lên
155805284-499599,bạn muốn xin vào ca nào ?,Ca sáng
155805284-3056192,sơ lược kinh nghiệm pha chế của bạn ?,"Biết pha chế cơ bản, theo công thức, art chưa được ạ"
155805284-3056192,bạn dự định làm việc ở quán bao lâu ?,Chưa biết được tương lai ạ 🤣
155805284-3056192,bạn muốn xin vào ca nào ?,"Dạ sáng ( có thể làm tối được 1,2 ngày)"
155805284-3064250,sơ lược kinh nghiệm pha chế của bạn ?,3 năm bartender - 6 tháng barista
155805284-3064250,bạn dự định làm việc ở quán bao lâu ?,Dạ trước mắt là ít nhất 1 năm
155805284-3064250,bạn muốn xin vào ca nào ?,Part-time ca sáng
155805284-3071889,sơ lược kinh nghiệm pha chế của bạn ?,biết pha chế
155805284-3071889,bạn dự định làm việc ở quán bao lâu ?,lâu dài
155805284-3071889,bạn muốn xin vào ca nào ?,full time 6h-15h
155805284-3076433,sơ lược kinh nghiệm pha chế của bạn ?,Tôi Có 6 tháng kinh nghiệm pha chế
155805284-3076433,bạn dự định làm việc ở quán bao lâu ?,1 năm và có thể gắn bó lâu dài…
155805284-3076433,bạn muốn xin vào ca nào ?,Ca 2
155805284-3104619,sơ lược kinh nghiệm pha chế của bạn ?,Chuyên Batrista
155805284-3104619,bạn dự định làm việc ở quán bao lâu ?,Lâu dài
155805284-3104619,bạn muốn xin vào ca nào ?,Ca sáng
